run_at,target,grades,loss,sampler,class_weight,eval,arch,hidden,lr,seed,epochs_run,best_epoch,n_train,n_val,macro_f1,accuracy,qwk,per_device_f1,seconds,tag
2026-09-08 16:38,pigmentation,6,ce,none,False,standard,resnet50,512,0.001,,21,6,15295,1908,0.3778,0.4738,0.659,"{""디카"": 0.3508, ""패드"": 0.3339, ""폰"": 0.2924}",21.8,기준선
2026-09-08 16:39,pore,6,ce,none,False,standard,resnet50,512,0.001,,22,7,15295,1908,0.37,0.6242,0.4108,"{""디카"": 0.3548, ""패드"": 0.2924, ""폰"": 0.4187}",25.3,기준선
2026-09-08 16:39,pore,6,focal,none,False,standard,resnet50,512,0.001,,22,7,15295,1908,0.3725,0.63,0.4244,"{""디카"": 0.3598, ""패드"": 0.3182, ""폰"": 0.4205}",24.4,focal
2026-09-08 16:40,pore,6,ce,weighted,False,standard,resnet50,512,0.001,,45,30,15295,1908,0.3566,0.5734,0.3886,"{""디카"": 0.3665, ""패드"": 0.2904, ""폰"": 0.343}",51.2,가중샘플러
2026-09-08 16:41,pore,6,ce,none,True,standard,resnet50,512,0.001,,23,8,15295,1908,0.2988,0.3721,0.2699,"{""디카"": 0.3133, ""패드"": 0.2627, ""폰"": 0.268}",26.6,클래스가중치
2026-09-08 16:41,pore,3,ce,none,False,standard,resnet50,512,0.001,,26,11,15295,1908,0.5497,0.641,0.4176,"{""디카"": 0.5405, ""패드"": 0.5328, ""폰"": 0.4409}",29.5,3등급
2026-09-08 16:42,pigmentation,3,ce,none,False,standard,resnet50,512,0.001,,23,8,15295,1908,0.6175,0.641,0.6752,"{""디카"": 0.5982, ""패드"": 0.5847, ""폰"": 0.5824}",26.3,3등급
2026-09-08 16:43,pore,6,coral,none,False,standard,resnet50,512,0.001,,60,58,15295,1908,0.2956,0.6415,0.3604,"{""디카"": 0.2839, ""패드"": 0.3013, ""폰"": 0.2749}",68.4,CORAL
2026-09-08 16:44,pore,3,coral,none,False,standard,resnet50,512,0.001,,57,42,15295,1908,0.5505,0.6174,0.415,"{""디카"": 0.5524, ""패드"": 0.5345, ""폰"": 0.5047}",65.6,CORAL
2026-09-08 16:46,pigmentation,6,coral,none,False,standard,resnet50,512,0.001,,59,44,15295,1908,0.3561,0.4119,0.6821,"{""디카"": 0.3653, ""패드"": 0.3606, ""폰"": 0.3008}",68.0,CORAL
